site,date_observed,genus,species,id,observer,date_entered,data_entry,dist_from_collar_raw,comments,dist_from_collar
Oak Collection,5/11/2017,Quercus,alba,684-33*1,Duckett,5/12/2017,Duckett,9999,Band has tightened and mark is under collar,9999.00
Oak Collection,5/11/2017,Quercus,alba,862-34*1,Duckett,5/12/2017,Duckett,9999,Band has tightened and mark is under collar,9999.00
Oak Collection,5/11/2017,Quercus,alba,239-42*2,Duckett,5/12/2017,Duckett,2.5,,2.50
Oak Collection,5/11/2017,Quercus,alba,134-U*6,Duckett,5/12/2017,Duckett,9999,Band has tightened and mark is under collar,9999.00
Oak Collection,5/11/2017,Quercus,alba,134-U*7,Duckett,5/12/2017,Duckett,1.4,,1.40
Oak Collection,5/11/2017,Quercus,alba,134-U*60,Duckett,5/12/2017,Duckett,1.8,,1.80
Oak Collection,5/11/2017,Quercus,alba,134-U*61,Duckett,5/12/2017,Duckett,3.9,,3.90
Oak Collection,5/11/2017,Quercus,bicolor,513-25*1,Duckett,5/12/2017,Duckett,1.05,,1.05
Oak Collection,5/11/2017,Quercus,bicolor,214-91*1,Duckett,5/12/2017,Duckett,9999,Band has tightened and mark is under collar,9999.00
Oak Collection,5/11/2017,Quercus,macrocarpa,1261-26*1,Duckett,5/12/2017,Duckett,0.6,,0.60
Oak Collection,5/11/2017,Quercus,macrocarpa,1261-26*2,Duckett,5/12/2017,Duckett,0,,0.00
Oak Collection,5/11/2017,Quercus,macrocarpa,2390-26*1,Duckett,5/12/2017,Duckett,0,,0.00
Oak Collection,5/11/2017,Quercus,macrocarpa,2390-26*2,Duckett,5/12/2017,Duckett,0,,0.00
Oak Collection,5/11/2017,Quercus,macrocarpa,752-34*2,Duckett,5/12/2017,Duckett,0,,0.00
Oak Collection,5/11/2017,Quercus,macrocarpa,752-34*4,Duckett,5/12/2017,Duckett,0,,0.00
Oak Collection,5/11/2017,Quercus,macrocarpa,4-35*1,Duckett,5/12/2017,Duckett,1.15,,1.15
Oak Collection,5/11/2017,Quercus,macrocarpa,1516-35*1,Duckett,5/12/2017,Duckett,0.3,,0.30
Oak Collection,5/11/2017,Quercus,macrocarpa,808-51*1,Duckett,5/12/2017,Duckett,0.75,,0.75
Oak Collection,5/11/2017,Quercus,macrocarpa,138-U*1,Duckett,5/12/2017,Duckett,11.2,,11.20
Oak Collection,5/11/2017,Quercus,macrocarpa,138-U*4,Duckett,5/12/2017,Duckett,1.55,,1.55
Oak Collection,5/11/2017,Quercus,macrocarpa,138-U*6,Duckett,5/12/2017,Duckett,14,,14.00
Oak Collection,5/11/2017,Quercus,macrocarpa,138-U*7,Duckett,5/12/2017,Duckett,0.5,,0.50
Oak Collection,5/11/2017,Quercus,robur,180-93*7,Duckett,5/12/2017,Duckett,0,,0.00
Oak Collection,5/11/2017,Quercus,robur,180-93*8,Duckett,5/12/2017,Duckett,1.2,,1.20
Oak Collection,5/11/2017,Quercus,robur,180-93*9,Duckett,5/12/2017,Duckett,0,,0.00
Oak Collection,5/11/2017,Quercus,robur,255-99*1,Duckett,5/12/2017,Duckett,9999,Band has tightened and mark is under collar,9999.00
Oak Collection,5/11/2017,Quercus,rubra,466-37*1,Duckett,5/12/2017,Duckett,4.8,Someone stuffed paper towels under the band,4.80
