Plot,Shrub Cover (%),Shrub Ht (m),Herb Cover (%),Ground Cover (%),X_COORD,Y_COORD,Management Unit,Burn_YEAR,Thinning_Year,Notes,,,,,,Thinning_Year
A124,3,1,70,CW-7 TB-5 LI-30 BA-58,579317.0625,1874084.625,South Forty,annually from 1986-2003,,,,,,,,
A126,2,0.25,40,CW-2 TB-6 LI-52 BA-40,579516.875,1874092,South Forty,annually from 1986-2003,,,,,,,,
A128,2,0.33,90,"CW-2 TB-3, LI-60 BA-35",579716.625,1874099.375,South Forty,annually from 1986-2003,,,,,,,,
A131,40,1.5,2,TB-8 LI-91 CW-1,580016.3125,1874110.375,East woods.Puffer land,,,,,,,,,
A133,25,0.4,2,CW-8 LI-90 TB-2,,,,,,site was managed,,,,,,
AA114,75,1,25,"LI-90, BA-10",578222.9375,1876646.75,East Woods.central,2008,,next to Big Rock visitor station,,,,,,
AA116,1,0.5,15,"LI-70, BA-5, CW-15, TB-10",578422.75,1876654.125,East Woods.central,,,,,,,,,
AA117,1,0.5,5,"LI-87, BA-2, CW-7, TB-4",578522.75,1876657.875,East Woods.central,,,,,,,,,
AA118,1,0.5,1,"LI-88, CW-5, TB-7",578622.625,1876661.625,East Woods.central,,,,,,,,,
AA125,10,1,25,BA-60 LI-23 CW-12 TB-5,579321.8125,1876687.375,Lacey bottoms,,,,,,,,,
AA129,15,2.5,20,CW-20 TB-7 LI-73,579721.375,1876702.125,East Woods.central,,,,,,,,,
AA95,55,1.5,35,CW-1 TB-4 LI-95,576325.125,1876576.75,ravine woods,2006,2005-06,,,,,,,
AZ133,80,1.33,40,CW-4 TB-2 LI-94,580219.8125,1874017.875,East woods.Puffer land,,,,,,,,,
B127,0,0,70,CW-2 TB-4 LI-40 BA-54,579613.0625,1874195.625,South Forty,annually from 1986-2003,,,,,,,,
B128,0,0,100,CW-4 TB-3 LI-33 BA-60,579713,1874199.375,South Forty,annually from 1986-2003,,,,,,,,
BB115,15,1,30,"LI-15, BA-60, CW-10, WA,10, RO-5",0,0,East Woods.central,,,,,,,,,
BB116,5,1,65,"LI-60, BA-20, CW-5, WA-10, TB-5",578419.125,1876754,East Woods.central,,,,,,,,,
BB118,1,0.5,35,"LI-75, CW-15, TB-10",578619,1876761.375,East Woods.central,,,20' S of creek,,,,,,
BB121,10,0.75,30,"LI-40, BA-45, RO-9, CW-3, TB-3",578918.75,1876772.5,East Woods.central,,,,,,,,,2005-06
BB128,5,2,70,BA-85 LI-13 TB-2,579618,1876798.375,Lacey bottoms,,,,,,,,,
